id,name,area,price,property_fee,green_rate,floor_area_ratio,lon_gps,lat_gps
80,中央花园,武昌区,19350,0.7,0.321,1.81,114.311705,30.513697
81,宝业徐东雅苑,洪山区,21612,2.2,0.35,2.8,114.351195,30.588427
82,顺驰泊林四期,东西湖区,11918,1.4,0.413,1.1,114.204576,30.671039
83,二桥西村长江委宿舍,汉阳区,14953,0.5,0.3256,2.56,114.207583,30.572385
84,百隆东方城,黄陂区,10693,1.5,0.65,3.4,114.418853,30.707573
85,常乐新城,新洲区,4774,0.6,0.3,2.5,114.568593,30.650741
86,迎宾花园,江汉区,13832,0.4,0.36,2.5,114.23142,30.627877
87,金都汉宫,武昌区,39287,2.3,0.45,2.18,114.297793,30.559905
88,观澜御苑二期观澜御璟台,汉阳区,15723,1.8,0.35,2.5,114.178455,30.509041
89,武汉万锦江城,江岸区,22413,2.6,0.35,3,114.309859,30.651521
90,保利中央公馆,洪山区,21229,2,0.35,3.02,114.316746,30.497487
91,钢都花园126街坊,青山区,17950,0.7,0.3,2.6,114.359771,30.613342
92,黄陂人信城,黄陂区,9929,1.6,0.3578,3.5,114.367831,30.894037
93,中电广场尊荣国际,江汉区,21467,1.4,0.2232,9.7,114.274593,30.576444
94,华腾园,洪山区,20552,1.3,0.26,2.9,114.35554,30.58399
95,幸源雅城,江岸区,23013,2,0.3,5,114.284467,30.598704
96,后湖生态花园,江岸区,12755,0.4,0.32,2.6,114.285749,30.642195
97,长投海德公园,江岸区,17641,2.68,0.3,3.33,114.279192,30.652197
98,狮城名居,洪山区,18259,1,0.45,2.32,114.345931,30.51125
99,蔚蓝海岸罗纳河谷,黄陂区,9047,0.5,0.4,2,114.249419,30.6876
100,爱家国际华城二期,洪山区,20054,0.6,0.32,2.89,114.357601,30.593967
101,和平街盛世花园社区,洪山区,15053,0.6,0.31,2,114.362733,30.606818
102,旭辉御府,江夏区,15536,2.98,0.35,2.5,114.442322,30.455235
103,百步亭花园百合苑,江岸区,15878,0.7,0.3,2.78,114.313073,30.652822
104,伟业佳苑,武昌区,19921,0.6,0.29,2.8,114.306255,30.516354
105,东原湖光里,洪山区,13968,2.6,0.35,2.69,114.291368,30.455938
106,东方雅园,洪山区,15132,1.4,0.39,2.88,114.392957,30.614236
107,融科天域,洪山区,22360,2.9,0.35,3.5,114.406955,30.482919
108,绿汀雅境,洪山区,18179,1.2,0.3592,2.8,114.366431,30.504262
109,珞珈雅苑,洪山区,18366,1,0.386,3.39,114.330329,30.491252
110,沿海国际中心,东西湖区,13402,1.88,0.35,2.32,114.149625,30.637705
111,越秀星汇云锦,硚口区,31853,3.3,0.3,5.4,114.243889,30.572187
112,玫瑰南苑,汉阳区,13667,0.8,0.15,2.5,114.197764,30.567632
113,中力名居,武昌区,18136,0.8,0.376,2.48,114.341703,30.588782
114,碧桂园生态城依云,洪山区,14000,1.6,0.35,0.7,114.502662,30.547977
115,香榭丽舍,蔡甸区,12833,0.6,0.42,0.9,114.151745,30.498296
116,绿色新都二期,江岸区,17342,0.5,0.4,0.54,114.290369,30.653175
117,锦绣中北,武昌区,20226,1.66,0.35,2.07,114.349435,30.567788
118,大华南湖公园世家二期,洪山区,22016,1.8,0.28,1.73,114.326995,30.49608
119,阳光在线,洪山区,19237,0.6,0.2,1.65,114.39858,30.499741
120,盘龙水岸沁园,黄陂区,10174,0.8,0.347,1.1,114.263774,30.730431
121,逸景南湾寓上湖,洪山区,17563,1.8,0.39,4.98,114.340067,30.492801
122,古田五路地质宿舍,硚口区,16406,0.6,0.29,2.6,114.210214,30.592523
123,天下名苑二期,江汉区,18894,1.2,0.35,6.46,114.268684,30.607247
124,景福小区,江岸区,18296,0.8,0.359,2.96,114.287884,30.590413
125,新世界恒大华府,洪山区,22926,2.6,0.358,2.02,114.436833,30.503897
126,华城花园,洪山区,17022,0.46,0.32,3,114.4145,30.510048
127,大华南湖公园世家,洪山区,21629,1.8,0.35,1.6,114.326937,30.496024
128,金地澜菲溪岸,汉阳区,16916,2.98,0.315,1.9,114.204617,30.514975
129,宝安花园,武昌区,19727,1,0.4,2.69,114.307117,30.509792
130,新世纪都市花园梅园,江汉区,20858,1.2,0.443,3.2,114.261307,30.609795
131,保利茉莉公馆,洪山区,23334,3.5,0.35,4.19,114.412166,30.500932
132,武汉中国健康谷,蔡甸区,12099,2.5,0.3,1.4,114.108996,30.539897
133,紫晶城,江汉区,22610,1.8,0.185,5.49,114.283609,30.583293
134,世界城米兰映象,洪山区,23107,1.8,0.35,4.55,114.401953,30.505146
135,东湖天下,武昌区,34337,1.98,0.4632,2.57,114.366919,30.578562
136,美联奥林匹克花园,东西湖区,17842,1.4,0.38,3.14,114.230954,30.655799
137,富丽豪庭,江夏区,11975,0.18,0.3,4.79,114.331993,30.369247
138,天下一品莲花,蔡甸区,9901,1.2,0.25,4.97,114.034823,30.581268
139,兴华御水澜湾,汉阳区,14463,2.5,0.3,3.14,114.231268,30.530016
140,钢花新村110街,青山区,16612,0.8,0.3256,2.36,114.388267,30.626631
141,百步雅庭,江岸区,18694,0.6,0.32,2.36,114.315096,30.656814
142,航天银湖湾,东西湖区,18655,0.8,0.3125,1.5,114.217262,30.651031
143,卧龙墨水湖边,汉阳区,16082,2.35,0.34,2.85,114.225544,30.532135
144,常青花园二十四村,东西湖区,15768,0.8,0.44,1.83,114.232602,30.643841
145,金域花园,青山区,16032,1.2,0.15,2.6,114.380966,30.628007
146,复地悦城,洪山区,16184,2.3,0.355,3.45,114.286575,30.493083
