id,name,area,price,property_fee,green_rate,floor_area_ratio,lon_gps,lat_gps,geometry,count_primary_school,count_middle_school,count_primary_school_normalized,count_middle_school_normalized,score
123,天下名苑二期,江汉区,18894,1.2,0.35,6.46,114.268684,30.607247,POINT (12720331.716497486 3581847.047710434),5,4,0.20833333333333334,0.2857142857142857,0.49404761904761907
136,美联奥林匹克花园,东西湖区,17842,1.4,0.38,3.14,114.230954,30.655799,POINT (12716131.632109856 3588128.3073659125),4,4,0.16666666666666666,0.2857142857142857,0.45238095238095233
75,辉煌公寓,江汉区,18114,1.0,0.29,3.2,114.25857,30.606283,POINT (12719205.831167605 3581722.3651919346),4,4,0.16666666666666666,0.2857142857142857,0.45238095238095233
89,武汉万锦江城,江岸区,22413,2.6,0.35,3.0,114.309859,30.651521,POINT (12724915.2965309 3587574.728141389),4,4,0.16666666666666666,0.2857142857142857,0.45238095238095233
103,百步亭花园百合苑,江岸区,15878,0.7,0.3,2.78,114.313073,30.652822,POINT (12725273.07737431 3587743.076781477),4,4,0.16666666666666666,0.2857142857142857,0.45238095238095233
90,保利中央公馆,洪山区,21229,2.0,0.35,3.02,114.316746,30.497487,POINT (12725681.953863993 3567658.78926986),7,2,0.2916666666666667,0.14285714285714285,0.43452380952380953
16,京韵花园,洪山区,22422,1.5,0.325,4.0,114.34089,30.528938,POINT (12728369.651649706 3571722.701298598),5,3,0.20833333333333334,0.21428571428571427,0.4226190476190476
27,常青花园二十七村,东西湖区,14985,0.8,0.36,1.83,114.234363,30.6362,POINT (12716511.12025397 3585592.3700694926),5,3,0.20833333333333334,0.21428571428571427,0.4226190476190476
112,玫瑰南苑,汉阳区,13667,0.8,0.15,2.5,114.197764,30.567632,POINT (12712436.93821043 3576724.3162960843),5,3,0.20833333333333334,0.21428571428571427,0.4226190476190476
130,新世纪都市花园梅园,江汉区,20858,1.2,0.443,3.2,114.261307,30.609795,POINT (12719510.512613906 3582176.6087241094),3,4,0.125,0.2857142857142857,0.4107142857142857
117,锦绣中北,武昌区,20226,1.66,0.35,2.07,114.349435,30.567788,POINT (12729320.876698535 3576744.4850072656),6,2,0.25,0.14285714285714285,0.39285714285714285
43,东城明珠,新洲区,6159,1.1,0.374,2.2,114.575465,30.655675,POINT (12754482.421202537 3588112.261246545),4,3,0.16666666666666666,0.21428571428571427,0.38095238095238093
21,泓悦府,洪山区,25293,2.0,0.35,3.2,114.338089,30.519113,POINT (12728057.845755994 3570453.031746233),4,3,0.16666666666666666,0.21428571428571427,0.38095238095238093
115,香榭丽舍,蔡甸区,12833,0.6,0.42,0.9,114.151745,30.498296,POINT (12707314.126563612 3567763.3069906076),4,3,0.16666666666666666,0.21428571428571427,0.38095238095238093
101,和平街盛世花园社区,洪山区,15053,0.6,0.31,2.0,114.362733,30.606818,POINT (12730801.203287104 3581791.5612496836),4,3,0.16666666666666666,0.21428571428571427,0.38095238095238093
26,金色港湾四期,蔡甸区,15957,0.8,0.4,1.1,114.174369,30.523754,POINT (12709832.618723318 3571052.765000145),4,3,0.16666666666666666,0.21428571428571427,0.38095238095238093
44,银泰御华园三期,江岸区,20418,2.6,0.25,2.69,114.302382,30.644588,POINT (12724082.960698238 3586677.6401888),2,4,0.08333333333333333,0.2857142857142857,0.369047619047619
50,关西小区,洪山区,15678,0.5,0.25,2.5,114.381507,30.500612,POINT (12732891.115407256 3568062.524456039),2,4,0.08333333333333333,0.2857142857142857,0.369047619047619
110,沿海国际中心,东西湖区,13402,1.88,0.35,2.32,114.149625,30.637705,POINT (12707078.129243132 3585787.085546188),2,4,0.08333333333333333,0.2857142857142857,0.369047619047619
33,武汉恒大首府,武昌区,28886,3.0,0.3,3.5,114.315726,30.575228,POINT (12725568.407983383 3577706.415051401),2,4,0.08333333333333333,0.2857142857142857,0.369047619047619
57,南湖新城家园(还建房),洪山区,9755,1.2,0.33,2.4,114.322399,30.493052,POINT (12726311.242945448 3567085.8305573603),7,1,0.2916666666666667,0.07142857142857142,0.36309523809523814
127,大华南湖公园世家,洪山区,21629,1.8,0.35,1.6,114.326937,30.496024,POINT (12726816.410794668 3567469.7810623976),7,1,0.2916666666666667,0.07142857142857142,0.36309523809523814
109,珞珈雅苑,洪山区,18366,1.0,0.386,3.39,114.330329,30.491252,POINT (12727194.006507438 3566853.2955772826),7,1,0.2916666666666667,0.07142857142857142,0.36309523809523814
118,大华南湖公园世家二期,洪山区,22016,1.8,0.28,1.73,114.326995,30.49608,POINT (12726822.867325133 3567477.0157740014),7,1,0.2916666666666667,0.07142857142857142,0.36309523809523814
142,航天银湖湾,东西湖区,18655,0.8,0.3125,1.5,114.217262,30.651031,POINT (12714607.445641916 3587511.3230148787),5,2,0.20833333333333334,0.14285714285714285,0.35119047619047616
106,东方雅园,洪山区,15132,1.4,0.39,2.88,114.392957,30.614236,POINT (12734165.723576838 3582751.033086591),5,2,0.20833333333333334,0.14285714285714285,0.35119047619047616
5,东亭花园,武昌区,17863,1.0,0.3,2.3,114.358714,30.571932,POINT (12730353.810253605 3577280.2605948765),5,2,0.20833333333333334,0.14285714285714285,0.35119047619047616
86,迎宾花园,江汉区,13832,0.4,0.36,2.5,114.23142,30.627877,POINT (12716183.506992565 3584515.6028909152),5,2,0.20833333333333334,0.14285714285714285,0.35119047619047616
59,大城小院,洪山区,18393,1.3,0.36,3.0,114.358987,30.606991,POINT (12730384.200474592 3581813.936879109),5,2,0.20833333333333334,0.14285714285714285,0.35119047619047616
4,佳海茗苑,江岸区,21832,1.8,0.42,0.8,114.283946,30.64233,POINT (12722030.674565975 3586385.4826323953),5,2,0.20833333333333334,0.14285714285714285,0.35119047619047616
119,阳光在线,洪山区,19237,0.6,0.2,1.65,114.39858,30.499741,POINT (12734791.67307357 3567949.99408117),3,3,0.125,0.21428571428571427,0.3392857142857143
74,百步亭花园怡康苑,江岸区,16444,0.7,0.35,1.3,114.308626,30.645694,POINT (12724778.039598752 3586820.745537434),3,3,0.125,0.21428571428571427,0.3392857142857143
53,万景国际,江汉区,23020,2.0,0.3,4.8,114.257374,30.607393,POINT (12719072.693056615 3581865.9312706124),3,3,0.125,0.21428571428571427,0.3392857142857143
108,绿汀雅境,洪山区,18179,1.2,0.3592,2.8,114.366431,30.504262,POINT (12731212.862764059 3568534.1035770043),1,4,0.041666666666666664,0.2857142857142857,0.3273809523809524
52,银泰御华园,江岸区,22115,2.0,0.42,2.7,114.303128,30.642447,POINT (12724166.005038371 3586400.620832462),1,4,0.041666666666666664,0.2857142857142857,0.3273809523809524
7,金地格林东郡,洪山区,22571,2.95,0.35,3.73,114.400185,30.487735,POINT (12734970.340856291 3566398.960476595),6,1,0.25,0.07142857142857142,0.3214285714285714
77,安胜花园,武昌区,18249,1.2,0.31,2.0,114.344795,30.615329,POINT (12728804.354261253 3582892.412003367),4,2,0.16666666666666666,0.14285714285714285,0.30952380952380953
42,世纪华庭,江汉区,22680,1.0,0.4,5.0,114.264302,30.601041,POINT (12719843.914488832 3581044.393381938),4,2,0.16666666666666666,0.14285714285714285,0.30952380952380953
12,新新花园,洪山区,17259,1.2,0.4,2.2,114.34541,30.5932,POINT (12728872.815748092 3580030.3494987125),4,2,0.16666666666666666,0.14285714285714285,0.30952380952380953
60,橡树湾B组团,武昌区,27783,2.48,0.42,2.54,114.342293,30.612764,POINT (12728525.832895288 3582560.6332612913),4,2,0.16666666666666666,0.14285714285714285,0.30952380952380953
88,观澜御苑二期观澜御璟台,汉阳区,15723,1.8,0.35,2.5,114.178455,30.509041,POINT (12710287.4701627 3569151.575984518),4,2,0.16666666666666666,0.14285714285714285,0.30952380952380953
85,常乐新城,新洲区,4774,0.6,0.3,2.5,114.568593,30.650741,POINT (12753717.433661807 3587473.797683207),2,3,0.08333333333333333,0.21428571428571427,0.2976190476190476
17,九坤翰林苑,蔡甸区,10369,1.6,0.35,3.1,114.011963,30.576704,POINT (12691753.665501546 3577897.258332169),2,3,0.08333333333333333,0.21428571428571427,0.2976190476190476
55,宝安璞园三期,洪山区,20683,1.2,0.3602,2.5,114.320973,30.510435,POINT (12726152.501351576 3569331.693971178),5,1,0.20833333333333334,0.07142857142857142,0.27976190476190477
37,恒大御园,江汉区,23463,3.2,0.5,3.78,114.24461,30.611512,POINT (12717651.81107613 3582398.692209427),5,1,0.20833333333333334,0.07142857142857142,0.27976190476190477
138,天下一品莲花,蔡甸区,9901,1.2,0.25,4.97,114.034823,30.581268,POINT (12694298.429061081 3578487.3910292587),5,1,0.20833333333333334,0.07142857142857142,0.27976190476190477
13,新长江香榭琴台,汉阳区,20394,1.9,0.5789,2.1,114.244632,30.548919,POINT (12717654.260104926 3574305.211182684),3,2,0.125,0.14285714285714285,0.26785714285714285
22,金沙泊岸,武昌区,28646,2.95,0.3865,2.39,114.345545,30.577569,POINT (12728887.84387935 3578009.1021197373),3,2,0.125,0.14285714285714285,0.26785714285714285
96,后湖生态花园,江岸区,12755,0.4,0.32,2.6,114.285749,30.642195,POINT (12722231.383607874 3586368.015501226),3,2,0.125,0.14285714285714285,0.26785714285714285
58,都市假日,东西湖区,13897,0.6,0.389,1.19,114.224992,30.654451,POINT (12715467.945305748 3587953.8716242146),3,2,0.125,0.14285714285714285,0.26785714285714285
113,中力名居,武昌区,18136,0.8,0.376,2.48,114.341703,30.588782,POINT (12728460.154395722 3579459.024093076),3,2,0.125,0.14285714285714285,0.26785714285714285
45,世界城尚都,洪山区,16652,1.8,0.104,4.75,114.396632,30.506618,POINT (12734574.822705504 3568838.507608805),1,3,0.041666666666666664,0.21428571428571427,0.25595238095238093
10,沿海赛洛城四期,东西湖区,12675,1.5,0.39,1.66,114.152949,30.640228,POINT (12707448.155230528 3586113.5156962625),1,3,0.041666666666666664,0.21428571428571427,0.25595238095238093
134,世界城米兰映象,洪山区,23107,1.8,0.35,4.55,114.401953,30.505146,POINT (12735167.153716017 3568648.318826388),1,3,0.041666666666666664,0.21428571428571427,0.25595238095238093
141,百步雅庭,江岸区,18694,0.6,0.32,2.36,114.315096,30.656814,POINT (12725498.276704185 3588259.653391008),4,1,0.16666666666666666,0.07142857142857142,0.23809523809523808
8,远洋心汉口御峰,江汉区,17156,3.95,0.35,3.24,114.239419,30.616603,POINT (12717073.951599421 3583057.2051796),4,1,0.16666666666666666,0.07142857142857142,0.23809523809523808
65,广电兰亭荣荟,硚口区,17645,2.95,0.3,4.55,114.211563,30.607164,POINT (12713973.035863884 3581836.3125485037),4,1,0.16666666666666666,0.07142857142857142,0.23809523809523808
97,长投海德公园,江岸区,17641,2.68,0.3,3.33,114.279192,30.652197,POINT (12721501.461706743 3587662.2018637974),4,1,0.16666666666666666,0.07142857142857142,0.23809523809523808
100,爱家国际华城二期,洪山区,20054,0.6,0.32,2.89,114.357601,30.593967,POINT (12730229.911660353 3580129.5387944654),2,2,0.08333333333333333,0.14285714285714285,0.22619047619047616
137,富丽豪庭,江夏区,11975,0.18,0.3,4.79,114.331993,30.369247,POINT (12727379.242140118 3551101.952319559),2,2,0.08333333333333333,0.14285714285714285,0.22619047619047616
94,华腾园,洪山区,20552,1.3,0.26,2.9,114.35554,30.58399,POINT (12730000.482189829 3578839.3633251437),2,2,0.08333333333333333,0.14285714285714285,0.22619047619047616
107,融科天域,洪山区,22360,2.9,0.35,3.5,114.406955,30.482919,POINT (12735723.973808965 3565776.843852049),5,0,0.20833333333333334,0.0,0.20833333333333334
92,黄陂人信城,黄陂区,9929,1.6,0.3578,3.5,114.367831,30.894037,POINT (12731368.710051168 3618995.463275317),3,1,0.125,0.07142857142857142,0.19642857142857142
56,鹏程花园,洪山区,17965,1.0,0.5,1.67,114.349772,30.586792,POINT (12729358.391366933 3579201.6904639555),3,1,0.125,0.07142857142857142,0.19642857142857142
116,绿色新都二期,江岸区,17342,0.5,0.4,0.54,114.290369,30.653175,POINT (12722745.67965534 3587788.755166021),3,1,0.125,0.07142857142857142,0.19642857142857142
81,宝业徐东雅苑,洪山区,21612,2.2,0.35,2.8,114.351195,30.588427,POINT (12729516.79900233 3579413.117455478),3,1,0.125,0.07142857142857142,0.19642857142857142
9,剑桥春天二期,洪山区,20495,1.8,0.4,2.2,114.412264,30.508967,POINT (12736314.968985584 3569142.0145566873),1,2,0.041666666666666664,0.14285714285714285,0.1845238095238095
139,兴华御水澜湾,汉阳区,14463,2.5,0.3,3.14,114.231268,30.530016,POINT (12716166.586429967 3571862.0173870055),1,2,0.041666666666666664,0.14285714285714285,0.1845238095238095
131,保利茉莉公馆,洪山区,23334,3.5,0.35,4.19,114.412166,30.500932,POINT (12736304.059675487 3568103.8676712173),1,2,0.041666666666666664,0.14285714285714285,0.1845238095238095
41,东方佳园,新洲区,6099,1.0,0.38,2.85,114.576183,30.6486,POINT (12754562.348596929 3587196.7607000475),1,2,0.041666666666666664,0.14285714285714285,0.1845238095238095
15,天纵颐景康城,黄陂区,11237,1.4,0.37,2.8,114.257136,30.7231,POINT (12719046.199017806 3596840.379334953),2,1,0.08333333333333333,0.07142857142857142,0.15476190476190477
31,中城上品,蔡甸区,10184,2.3,0.3,2.8,114.041391,30.579859,POINT (12695029.575476613 3578305.2020507115),2,1,0.08333333333333333,0.07142857142857142,0.15476190476190477
36,泰跃金河,东西湖区,12121,0.8,0.39,1.39,114.161747,30.658891,POINT (12708427.544110527 3588528.4317726814),2,1,0.08333333333333333,0.07142857142857142,0.15476190476190477
146,复地悦城,洪山区,16184,2.3,0.355,3.45,114.286575,30.493083,POINT (12722323.33350727 3567089.8353641443),2,1,0.08333333333333333,0.07142857142857142,0.15476190476190477
98,狮城名居,洪山区,18259,1.0,0.45,2.32,114.345931,30.51125,POINT (12728930.813202795 3569437.000876991),2,1,0.08333333333333333,0.07142857142857142,0.15476190476190477
64,华润翡翠城,硚口区,14239,3.18,0.3,4.14,114.201375,30.622003,POINT (12712838.912891682 3583755.7246657824),2,1,0.08333333333333333,0.07142857142857142,0.15476190476190477
84,百隆东方城,黄陂区,10693,1.5,0.65,3.4,114.418853,30.707573,POINT (12737048.453110421 3594829.879842236),3,0,0.125,0.0,0.125
61,天祥尚府,洪山区,16871,2.3,0.35,2.5,114.367429,30.459491,POINT (12731323.95961587 3562750.923094686),1,1,0.041666666666666664,0.07142857142857142,0.11309523809523808
126,华城花园,洪山区,17022,0.46,0.32,3.0,114.4145,30.510048,POINT (12736563.879367 3569281.689651378),1,1,0.041666666666666664,0.07142857142857142,0.11309523809523808
135,东湖天下,武昌区,34337,1.98,0.4632,2.57,114.366919,30.578562,POINT (12731267.186675563 3578137.497431962),1,1,0.041666666666666664,0.07142857142857142,0.11309523809523808
82,顺驰泊林四期,东西湖区,11918,1.4,0.413,1.1,114.204576,30.671039,POINT (12713195.246581713 3590100.583959601),1,1,0.041666666666666664,0.07142857142857142,0.11309523809523808
71,汇博苑,洪山区,22380,3.8,0.385,2.98,114.418935,30.514422,POINT (12737057.581308668 3569846.8663426857),1,1,0.041666666666666664,0.07142857142857142,0.11309523809523808
120,盘龙水岸沁园,黄陂区,10174,0.8,0.347,1.1,114.263774,30.730431,POINT (12719785.137797693 3597789.7397363447),1,1,0.041666666666666664,0.07142857142857142,0.11309523809523808
14,九坤五环华城,东西湖区,12870,1.4,0.4,2.0,114.134776,30.60993,POINT (12705425.146124342 3582194.070008694),1,1,0.041666666666666664,0.07142857142857142,0.11309523809523808
114,碧桂园生态城依云,洪山区,14000,1.6,0.35,0.7,114.502662,30.547977,POINT (12746378.028314317 3574183.4473669375),2,0,0.08333333333333333,0.0,0.08333333333333333
102,旭辉御府,江夏区,15536,2.98,0.35,2.5,114.442322,30.455235,POINT (12739661.010239849 3562201.303465625),2,0,0.08333333333333333,0.0,0.08333333333333333
30,中航工业武仪阳光社区,洪山区,17015,0.6,0.33,2.3,114.393101,30.518727,POINT (12734181.753583515 3570403.152183831),2,0,0.08333333333333333,0.0,0.08333333333333333
78,美加史丹佛公馆,江夏区,12994,3.3,0.35,1.47,114.367656,30.391571,POINT (12731349.22914028 3553982.6000629887),0,1,0.0,0.07142857142857142,0.07142857142857142
35,美景天城,黄陂区,11145,1.2,0.358,2.48,114.283664,30.707779,POINT (12721999.28246957 3594856.5514465985),0,1,0.0,0.07142857142857142,0.07142857142857142
2,保利海上五月花,江夏区,13499,1.5,0.35,2.4,114.372117,30.409228,POINT (12731845.82538871 3556261.492993105),0,1,0.0,0.07142857142857142,0.07142857142857142
73,中冶枫树湾,蔡甸区,10461,1.7,0.35,1.8,114.106552,30.471974,POINT (12702283.264816191 3564363.1156030274),0,1,0.0,0.07142857142857142,0.07142857142857142
34,岭尚梦想,江夏区,12302,1.5,0.354,2.5,114.302589,30.424826,POINT (12724106.003832832 3558274.9849034115),0,1,0.0,0.07142857142857142,0.07142857142857142
76,福星惠誉东澜岸,洪山区,13042,1.8,0.3,2.0,114.261505,30.434984,POINT (12719532.553873083 3559586.4190985155),1,0,0.041666666666666664,0.0,0.041666666666666664
62,凤凰花园三期,江夏区,13909,1.0,0.308,1.63,114.420475,30.440204,POINT (12737229.013324488 3560260.392934167),1,0,0.041666666666666664,0.0,0.041666666666666664
143,卧龙墨水湖边,汉阳区,16082,2.35,0.34,2.85,114.225544,30.532135,POINT (12715529.393664666 3572135.872348695),1,0,0.041666666666666664,0.0,0.041666666666666664
6,汉阳惠民苑,汉阳区,11250,0.5,0.33,1.26,114.164766,30.587558,POINT (12708763.617653232 3579300.7438887446),1,0,0.041666666666666664,0.0,0.041666666666666664
3,纯水岸东湖天樾小区,洪山区,36547,3.6,0.36,1.7,114.379652,30.58937,POINT (12732684.617751835 3579535.061372566),1,0,0.041666666666666664,0.0,0.041666666666666664
128,金地澜菲溪岸,汉阳区,16916,2.98,0.315,1.9,114.204617,30.514975,POINT (12713199.810680833 3569918.3228196385),1,0,0.041666666666666664,0.0,0.041666666666666664
68,海昌天澜,东西湖区,15634,2.8,0.36,2.83,114.270575,30.664154,POINT (12720542.221654577 3589209.526783732),1,0,0.041666666666666664,0.0,0.041666666666666664
132,武汉中国健康谷,蔡甸区,12099,2.5,0.3,1.4,114.108996,30.539897,POINT (12702555.329651691 3573139.067407462),1,0,0.041666666666666664,0.0,0.041666666666666664
51,汉口北1号公馆CD座,黄陂区,8447,2.0,0.099,5.39,114.313803,30.7064,POINT (12725354.340602588 3594678.0081514204),1,0,0.041666666666666664,0.0,0.041666666666666664
125,新世界恒大华府,洪山区,22926,2.6,0.358,2.02,114.436833,30.503897,POINT (12739049.977554884 3568486.944868494),1,0,0.041666666666666664,0.0,0.041666666666666664
49,中建南湖壹号,洪山区,22363,2.8,0.35,4.02,114.343995,30.504948,POINT (12728715.29866862 3568622.736587542),1,0,0.041666666666666664,0.0,0.041666666666666664
18,新长江香榭湾,江夏区,13718,2.5,0.52,2.0,114.318746,30.403643,POINT (12725904.59284558 3555540.622871893),1,0,0.041666666666666664,0.0,0.041666666666666664
121,逸景南湾寓上湖,洪山区,17563,1.8,0.39,4.98,114.340067,30.492801,POINT (12728278.035708783 3567053.4045881396),1,0,0.041666666666666664,0.0,0.041666666666666664
47,泰然南湖玫瑰湾二期,洪山区,18517,1.5,0.35,4.92,114.337757,30.489752,POINT (12728020.887685051 3566659.5197131853),1,0,0.041666666666666664,0.0,0.041666666666666664
19,宜化星都汇,江夏区,12261,1.98,0.361,2.56,114.308983,30.393469,POINT (12724817.780656965 3554227.544834408),0,0,0.0,0.0,0.0
70,龙源映象,蔡甸区,10566,1.8,0.3458,4.8,114.120629,30.471172,POINT (12703850.309288088 3564259.530252605),0,0,0.0,0.0,0.0
99,蔚蓝海岸罗纳河谷,黄陂区,9047,0.5,0.4,2.0,114.249419,30.6876,POINT (12718187.146507356 3592244.1698589143),0,0,0.0,0.0,0.0
105,东原湖光里,洪山区,13968,2.6,0.35,2.69,114.291368,30.455938,POINT (12722856.887826642 3562292.0871955566),0,0,0.0,0.0,0.0
66,中建汤逊湖壹号,江夏区,12309,2.3,0.525,2.41,114.329839,30.411049,POINT (12727139.459956951 3556496.5429989095),0,0,0.0,0.0,0.0
